##n  time(ms)->log
10000   113.836    0.117  318  14
25000   749.295    0.329   2084  21
50000   2947.100    0.521   8015  33
100000   11643.797    1.375  35259  59
250000   73892.895    2.804  213892.895   130
500000   285000.100   5.494  685000.100  278
